"Name","Class","URL"
"EnableWebSocket","org.springframework.web.socket.config.annotation.EnableWebSocket","http://docs.spring.io/spring/docs/4.0.0.RELEASE/javadoc-api/org/springframework/web/socket/config/annotation/EnableWebSocket.html"
"EnableWebSocket","org.springframework.web.socket.config.annotation.EnableWebSocket","http://www.mkyong.com/spring/spring-error-classnotfoundexception-org-springframework-web-context-contextloaderlistener/"
"EnableWebSocketMessageBroker","org.springframework.web.socket.config.annotation.EnableWebSocketMessageBroker","http://stackoverflow.com/questions/26283020/tomcat-8-and-java-web-sockets-classcastexception"
"EnableWebSocketMessageBroker","org.springframework.web.socket.config.annotation.EnableWebSocketMessageBroker","http://stackoverflow.com/questions/25910909/write-a-spring-web-socket-project-without-springboot"
"DelegatingWsConfiguration","org.springframework.ws.config.annotation.DelegatingWsConfiguration","http://docs.spring.io/spring/docs/3.0.0.M3/reference/html/ch04s11.html"
"DelegatingWsConfiguration","org.springframework.ws.config.annotation.DelegatingWsConfiguration","http://projects.spring.io/spring-framework/"
"EnableWs","org.springframework.ws.config.annotation.EnableWs","http://stackoverflow.com/questions/25784617/spring-boot-spring-ws-security-for-soap-based-web-service"
"EnableWs","org.springframework.ws.config.annotation.EnableWs","http://spring.io/guides/gs/producing-web-service/"
"Endpoint","org.springframework.ws.server.endpoint.annotation.Endpoint","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/Endpoint.html"
"Endpoint","org.springframework.ws.server.endpoint.annotation.Endpoint","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/package-tree.html"
"Namespace","org.springframework.ws.server.endpoint.annotation.Namespace","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/Namespace.html"
"Namespace","org.springframework.ws.server.endpoint.annotation.Namespace","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/package-tree.html"
"Namespaces","org.springframework.ws.server.endpoint.annotation.Namespaces","http://docs.spring.io/spring-ws/site/apidocs/org/springframework/ws/server/endpoint/annotation/package-tree.html"
